"TL","Territory Level and Typology","REG_ID","Region","VAR","Variable","VINTAGE","Vintage","DWELLINGS","Dwellings","MEASURE","Measure","FREQ","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",62.357,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",65.441,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",72.007,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",80.84,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",88.846,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",92.315,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",91.947,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",91.482,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",90.952,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",91.695,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",92.13,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",94.863,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",96.829,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
