Year,FIPS_Code,State,Area_Name,Civilian_labor_force,Employed,Unemployed,Unemployment_rate
2003,30000,MT,Montana,470502.0,448251.0,22251.0,4.7
2003,31000,NE,Nebraska,967039.0,928916.0,38123.0,3.9
2003,32000,NV,Nevada,1150376.0,1089893.0,60483.0,5.300000000000001
2003,33000,NH,New Hampshire,708938.0,677387.0,31551.0,4.5
2003,34000,NJ,New Jersey,4344387.0,4091465.0,252922.0,5.800000000000001
2003,35000,NM,New Mexico,880251.0,828390.0,51861.0,5.9
2003,36000,NY,New York,9283810.0,8689954.0,593856.0,6.4
2003,37000,NC,North Carolina,4285401.0,3997950.0,287451.0,6.7
2003,38000,ND,North Dakota,347099.0,335092.0,12007.0,3.5
2003,39000,OH,Ohio,5862996.0,5498959.0,364037.0,6.2
2003,40000,OK,Oklahoma,1686378.0,1595412.0,90966.0,5.4
2003,41000,OR,Oregon,1846328.0,1698482.0,147846.0,8.0
2003,42000,PA,Pennsylvania,6157935.0,5808102.0,349833.0,5.7
2003,44000,RI,Rhode Island,560785.0,529583.0,31202.0,5.600000000000001
2003,45000,SC,South Carolina,1999485.0,1855599.0,143886.0,7.2
2003,46000,SD,South Dakota,421524.0,406897.0,14627.0,3.5
2003,47000,TN,Tennessee,2904566.0,2744351.0,160215.0,5.5
2003,48000,TX,Texas,10910636.0,10176554.0,734082.0,6.7
2003,49000,UT,Utah,1197252.0,1130789.0,66463.0,5.600000000000001
2003,50000,VT,Vermont,346380.0,331239.0,15141.0,4.4
2003,51000,VA,Virginia,3772549.0,3609335.0,163214.0,4.3
2003,53000,WA,Washington,3136253.0,2910008.0,226245.0,7.2
2003,54000,WV,West Virginia,791841.0,739896.0,51945.0,6.600000000000001
2003,55000,WI,Wisconsin,3045298.0,2873956.0,171342.0,5.600000000000001
2003,56000,WY,Wyoming,272804.0,260995.0,11809.0,4.3
2004,0,US,United States,146724795.0,138613904.0,8110891.0,5.5
2004,1000,AL,Alabama,2138306.0,2018783.0,119523.0,5.600000000000001
2004,2000,AK,Alaska,337469.0,312394.0,25075.0,7.4
2004,4000,AZ,Arizona,2788618.0,2649564.0,139054.0,5.0
2004,5000,AR,Arkansas,1302378.0,1229546.0,72832.0,5.600000000000001
2004,6000,CA,California,17374506.0,16293555.0,1080951.0,6.2
2004,8000,CO,Colorado,2539389.0,2397588.0,141801.0,5.600000000000001
